TSSOP14,UFQFPN20,TSSOP20,UFQFPN28,LQFP32,UFQFPN32,WLCSP25,Pin name ,Pin type,I/O structure,Notes ,Alternate functions ,Additional functions 
- ,9,12,12,12,12,E3 ,PA6 ,I/O ,FT ,- ,"SPI1_MISO, LPTIM1_ETR, LPUART1_CTS, EVENTOUT, COMP1_OUT ",ADC_IN6 
,,,,,,,,,,,,
8,10,13,13,13,13,C3 ,PA7 ,I/O ,FT ,- ,"SPI1_MOSI, LPTIM1_OUT, USART2_CTS, TIM21_ETR, EVENTOUT, COMP2_OUT ","COMP2_INP, ADC_IN7 "
,,,,,,,,,,,,
- ,- ,- ,14,14,14,E2 ,PB0 ,I/O ,FT ,- ,"EVENTOUT, SPI1_MISO, TIM2_CH2, USART2_RTS_DE, TIM2_CH3 ","ADC_IN8, VREF_OUT "
,,,,,,,,,,,,
- ,11,14,15,15,15,D2 ,PB1 ,I/O ,FT ,- ,"USART2_CK, SPI1_MOSI, LPTIM1_IN1, LPUART1_RTS_DE , TIM2_CH4 ","ADC_IN9, VREF_OUT "
,,,,,,,,,,,,
- ,- ,- ,- ,- ,16,- ,PB2 ,I/O ,FT ,- ,LPTIM1_OUT ,- 
,,,,,,,,,,,,
9,12,15,16,16,- ,E1 ,VSS ,S ,- ,-5,- ,- 
,,,,,,,,,,,,
10,13,16,17,17,17,D1 ,VDD ,S ,- ,-6,- ,- 
,,,,,,,,,,,,
- ,- ,- ,18,18,18,C1 ,PA8 ,I/O ,FT ,- ,"MCO, LPTIM1_IN1, EVENTOUT, USART2_CK, TIM2_CH1 ",- 
,,,,,,,,,,,,
11,14,17,19,19,19,B1 ,PA9 ,I/O ,FTf ,- ,"MCO, I2C1_SCL, LPTIM1_OUT, USART2_TX, TIM21_CH2, COMP1_OUT ",- 
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
12,15,18,20,20,20,C2 ,PA10 ,I/O ,FTf ,-7,"TIM21_CH1, I2C1_SDA, RTC_REFIN, USART2_RX, TIM2_CH3, COMP1_OUT ",- 
,,,,,,,,,,,,
- ,- ,- ,- ,21,21,- ,PA11 ,I/O ,FT ,- ,"SPI1_MISO, LPTIM1_OUT, EVENTOUT, USART2_CTS, TIM21_CH2, COMP1_OUT ",- 
,,,,,,,,,,,,
- ,- ,- ,- ,22,22,- ,PA12 ,I/O ,FT ,- ,"SPI1_MOSI, ",- 
,,,,,,,,,,,,
,,,,,,,,,,,"EVENTOUT, USART2_RTS_DE, COMP2_OUT ",
,,,,,,,,,,,,
13,16,19,21,23,23,A1 ,PA13 ,I/O ,FTf ,- ,"SWDIO, LPTIM1_ETR, I2C1_SDA, SPI1_SCK, LPUART1_RX, COMP1_OUT ",- 
,,,,,,,,,,,,
14,17,20,22,24,24,A2 ,PA14 ,I/O ,FT ,-7,"SWCLK, LPTIM1_OUT, I2C1_SMBA, USART2_TX, SPI1_MISO, LPUART1_TX, COMP2_OUT ",- 
,,,,,,,,,,,,
- ,- ,- ,23,25,25,- ,PA15 ,I/O ,FT ,- ,"SPI1_NSS, ",- 
,,,,,,,,,,,,
,,,,,,,,,,,"TIM2_ETR, EVENTOUT, USART2_RX, TIM2_CH1 ",
,,,,,,,,,,,,
- ,- ,- ,24,26,26,B2 ,PB3 ,I/O ,FT ,- ,"SPI1_SCK, TIM2_CH2, EVENTOUT ",COMP2_INM 
,,,,,,,,,,,,
- ,- ,- ,25,27,27,- ,PB4 ,I/O ,FT ,- ,"SPI1_MISO, EVENTOUT ",COMP2_INP 
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
- ,- ,- ,26,28,28,- ,PB5 ,I/O ,FT ,- ,"SPI1_MOSI, LPTIM1_IN1, I2C1_SMBA, TIM21_CH1 ",COMP2_INP 
,,,,,,,,,,,,
- ,18,- ,27,29,29,A3 ,PB6 ,I/O ,FTf ,- ,"USART2_TX, I2C1_SCL, LPTIM1_ETR, TIM2_CH3, LPUART1_TX ",COMP2_INP 
,,,,,,,,,,,,
- ,19,- ,28,30,30,A4 ,PB7 ,I/O ,FTf ,- ,"USART2_RX, I2C1_SDA, LPTIM1_IN2, TIM2_CH4, LPUART1_RX ","COMP2_INP, VREF_PVD_IN "
,,,,,,,,,,,,
1,20,1,1,31,31,A5 ,PB9-BOOT0 ,I ,B ,- ,- ,BOOT0 (Boot memory selection) 
,,,,,,,,,,,,
- ,- ,- ,- ,- ,32,- ,PB8 ,I/O ,FTf ,- ,"USART2_TX, EVENTOUT, I2C1_SCL, SPI1_NSS ",- 
,,,,,,,,,,,,
- ,- ,- ,- ,32,- ,- ,VSS ,S ,- ,-5,- ,- 
,,,,,,,,,,,,
- ,- ,- ,- ,1,1,- ,VDD ,S ,- ,-6,- ,- 
,,,,,,,,,,,,
